Country,Year,Airport infrastructure capital value,Airport infrastructure investment,Airport infrastructure maintenance,Inland waterway infrastucture investment,Inland waterway infrastucture maintenance,Maritime port infrastructure investment,Maritime port infrastructure maintenance,Rail infrastructure capital value,Rail infrastructure investment,Rail infrastructure maintenance,Road infrastructure capital value,Road infrastructure capital value: Of which motorway,Road infrastructure investment,Road infrastructure investment: Of which motorway,Road infrastructure maintenance,Road infrastructure maintenance: Of which motorway,Total_Infraestructure
Austria,2000,0.0,107670327.04251,0.0,0.0,0.0,0.0,0.0,0.0,1574350269.8046,455629310.8,0.0,0.0,623700065.18529,379472250.18642,667030806.57803,320384875.6,4128239905.19685
Austria,2001,0.0,104325938.30144,0.0,0.0,21895567.3,0.0,0.0,0.0,1379420739.7635,435335396.9,0.0,0.0,824303710.03606,533221462.42958,669746764.4021499,327145534.9,4295397115.032729
Austria,2002,0.0,129885441.79418,0.0,1273386.6842566,21647573.63,0.0,0.0,0.0,1516603540.9497,431678086.0,0.0,0.0,677441716.02453,677441716.02453,374375685.185725,374375685.2,4204724833.492922
Austria,2003,0.0,198598318.67565,0.0,3770854.1520693,21368173.53,0.0,0.0,0.0,1439209334.7065,421078713.6,0.0,0.0,817018399.61502,817018399.61502,487697137.000485,487697137.0,4693458470.894745
Austria,2004,0.0,296509893.65469,0.0,14825494.682735,0.0,0.0,0.0,0.0,1649336283.4542,421291140.6,0.0,0.0,889529680.96408,889529680.96408,565839713.712185,565839713.7,5292703605.73197
Austria,2005,0.0,436166742.16274,0.0,8434163.5224839,0.0,0.0,0.0,0.0,1602491069.2719,363873912.0,0.0,0.0,827752905.70663,827752905.70663,533762062.911455,533762062.9,5133997829.181838
Austria,2006,0.0,256603713.62659,0.0,8277539.149245,0.0,0.0,0.0,0.0,1760750827.6037,428067024.6,0.0,0.0,948369485.38492,948369485.38492,585340268.405445,585340268.4,5521120618.55482
Austria,2007,0.0,216323617.84965,0.0,4627243.1625594,0.0,0.0,0.0,0.0,1741000239.913,375963507.0,0.0,0.0,1006425387.8567,1006425387.8567,562210044.27548,562210044.3,5475187479.214089
Austria,2008,0.0,347191909.2574,0.0,3403842.2476215,0.0,0.0,0.0,0.0,1909555500.9157,403922613.4,0.0,0.0,992787322.22295,992787322.22295,529864776.52321,529864776.5,5709380071.289831
Austria,2009,0.0,246100228.77753,0.0,5567878.4791297,0.0,0.0,0.0,0.0,2296193084.7931,387524342.1,0.0,0.0,740527837.72425,740527837.72425,574605059.02309,574605059.0,5565653336.621349
Austria,2010,0.0,192085162.03496,0.0,12143314.841291,0.0,0.0,0.0,0.0,2137223412.0671,379754573.2,0.0,0.0,430535708.00939,430535708.00939,617101181.490065,617101181.5,4816482251.152196
Austria,2011,0.0,0.0,0.0,2168124.8034283,11924686.42,0.0,0.0,0.0,2323145726.8735,488912143.2,0.0,0.0,328470907.71939,328470907.71939,535526826.4234,535526826.4,4554148160.559108
Austria,2012,0.0,0.0,0.0,3186724.375829,12746897.5,0.0,0.0,0.0,1793063582.1331,509875900.1,0.0,0.0,347352956.96536,347352956.96536,549178834.100595,549178834.1,4111938698.2402444
Austria,2013,0.0,0.0,0.0,11497942.33093,17769547.24,0.0,0.0,0.0,1722600814.6702,519497939.9,0.0,0.0,379432096.92069,379432096.92069,584304523.9040849,584304523.9,4198841498.786595
Austria,2014,0.0,0.0,0.0,10230097.866681,19437185.95,0.0,0.0,0.0,1603056335.7088,515596932.5,0.0,0.0,463423433.36063,463423433.36063,682347527.703795,682347527.7,4439864488.150537
Austria,2015,0.0,0.0,0.0,2000000.0,14000000.0,0.0,0.0,0.0,1549000000.0,503000000.0,0.0,0.0,455000000.0,455000000.0,692000000.0,692000000.0,4362002015.0
Austria,2016,0.0,0.0,0.0,1963704.9455975,11782229.67,0.0,0.0,0.0,1495361316.0725,525291072.9,0.0,0.0,435942497.92265,435942497.92265,684351173.520365,684351173.5,4274987682.453762
Austria,2017,0.0,0.0,0.0,2916233.692449,12637012.67,0.0,0.0,0.0,1508664896.8936,536586999.4,0.0,0.0,500620117.20375,500620117.20375,667817515.585415,667817515.6,4397682425.248964
Austria,2018,0.0,0.0,0.0,2863598.8991628,11454395.6,0.0,0.0,0.0,1605524449.4639,534538461.2,0.0,0.0,441948763.43746,441948763.43746,692990933.5987,692990933.6,4424262317.236683
