"COUNTRY","Country","VARIABLE","Variable","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2000","2000","EUR","Euro","0","Units",,,65308511.071527,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2001","2001","EUR","Euro","0","Units",,,67409940.39747,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2002","2002","EUR","Euro","0","Units",,,65448043.2471,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2003","2003","EUR","Euro","0","Units",,,69982400.767966,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2004","2004","EUR","Euro","0","Units",,,75367281.373794,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2005","2005","EUR","Euro","0","Units",,,77486109.992753,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2006","2006","EUR","Euro","0","Units",,,78183141.754981,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2007","2007","EUR","Euro","0","Units",,,73610953.943646,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2008","2008","EUR","Euro","0","Units",,,74143102.21517,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2009","2009","EUR","Euro","0","Units",,,68876840.550228,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2010","2010","EUR","Euro","0","Units",,,66101452.401652,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2011","2011","EUR","Euro","0","Units",,,64862961.759289,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2012","2012","EUR","Euro","0","Units",,,415929158.98592,"B","Break"
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2013","2013","EUR","Euro","0","Units",,,412190518.54893,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2014","2014","EUR","Euro","0","Units",,,374261701.66245,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2015","2015","EUR","Euro","0","Units",,,374906502.4211,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2016","2016","EUR","Euro","0","Units",,,381391352.46916,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2017","2017","EUR","Euro","0","Units",,,616210487.71872,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2018","2018","EUR","Euro","0","Units",,,647745508.22391,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2019","2019","EUR","Euro","0","Units",,,666055738.14747,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2020","2020","EUR","Euro","0","Units",,,646694068.68921,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR","Euro","2021","2021","EUR","Euro","0","Units",,,654073428.06799,,
"ALB","Albania","I-CPV-SEA","Maritime port infrastructure capital value","EUR","Euro","2005","2005","EUR","Euro","0","Units",,,81656574.60343,,
"ALB","Albania","I-CPV-SEA","Maritime port infrastructure capital value","EUR","Euro","2006","2006","EUR","Euro","0","Units",,,82902078.925731,,
"ALB","Albania","I-CPV-SEA","Maritime port infrastructure capital value","EUR","Euro","2007","2007","EUR","Euro","0","Units",,,81071468.98592,,
"ALB","Albania","I-CPV-SEA","Maritime port infrastructure capital value","EUR","Euro","2008","2008","EUR","Euro","0","Units",,,86659454.915422,,
"ALB","Albania","I-CPV-SEA","Maritime port infrastructure capital value","EUR","Euro","2009","2009","EUR","Euro","0","Units",,,80538224.716652,,
"ALB","Albania","I-CPV-SEA","Maritime port infrastructure capital value","EUR","Euro","2010","2010","EUR","Euro","0","Units",,,84167463.791642,,
"ALB","Albania","I-CPV-SEA","Maritime port infrastructure capital value","EUR","Euro","2011","2011","EUR","Euro","0","Units",,,92277309.295338,,
"ALB","Albania","I-CPV-SEA","Maritime port infrastructure capital value","EUR","Euro","2012","2012","EUR","Euro","0","Units",,,101511312.3669,,
"ALB","Albania","I-CPV-SEA","Maritime port infrastructure capital value","EUR","Euro","2013","2013","EUR","Euro","0","Units",,,99294935.395213,,
"ALB","Albania","I-CPV-SEA","Maritime port infrastructure capital value","EUR","Euro","2014","2014","EUR","Euro","0","Units",,,97684747.86031,,
"ALB","Albania","I-CPV-SEA","Maritime port infrastructure capital value","EUR","Euro","2015","2015","EUR","Euro","0","Units",,,99756995.766215,,
"ALB","Albania","I-CPV-SEA","Maritime port infrastructure capital value","EUR","Euro","2016","2016","EUR","Euro","0","Units",,,98089329.663448,,
"ALB","Albania","I-CPV-SEA","Maritime port infrastructure capital value","EUR","Euro","2017","2017","EUR","Euro","0","Units",,,101147862.79306,,
"ALB","Albania","I-CPV-SEA","Maritime port infrastructure capital value","EUR","Euro","2018","2018","EUR","Euro","0","Units",,,101480939.69234,,
"ALB","Albania","I-CPV-SEA","Maritime port infrastructure capital value","EUR","Euro","2019","2019","EUR","Euro","0","Units",,,112816976.76574,,
"ALB","Albania","I-CPV-SEA","Maritime port infrastructure capital value","EUR","Euro","2020","2020","EUR","Euro","0","Units",,,115279460.26793,,
"ALB","Albania","I-CPV-SEA","Maritime port infrastructure capital value","EUR","Euro","2021","2021","EUR","Euro","0","Units",,,88338631.147226,"P","Provisional value"
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR_CONST","Constant Euro","2000","2000","EUR","Euro","0","Units",,,59659059.976924,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR_CONST","Constant Euro","2001","2001","EUR","Euro","0","Units",,,56095713.408166,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR_CONST","Constant Euro","2002","2002","EUR","Euro","0","Units",,,71825913.460051,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR_CONST","Constant Euro","2003","2003","EUR","Euro","0","Units",,,77828968.879594,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR_CONST","Constant Euro","2004","2004","EUR","Euro","0","Units",,,75442100.173538,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR_CONST","Constant Euro","2005","2005","EUR","Euro","0","Units",,,74463391.846963,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR_CONST","Constant Euro","2006","2006","EUR","Euro","0","Units",,,73666991.934161,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR_CONST","Constant Euro","2007","2007","EUR","Euro","0","Units",,,68043068.281088,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR_CONST","Constant Euro","2008","2008","EUR","Euro","0","Units",,,67095232.612084,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR_CONST","Constant Euro","2009","2009","EUR","Euro","0","Units",,,67087861.129705,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR_CONST","Constant Euro","2010","2010","EUR","Euro","0","Units",,,66881225.007129,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR_CONST","Constant Euro","2011","2011","EUR","Euro","0","Units",,,66539645.717001,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR_CONST","Constant Euro","2012","2012","EUR","Euro","0","Units",,,420233841.6391,"B","Break"
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR_CONST","Constant Euro","2013","2013","EUR","Euro","0","Units",,,416428907.45926,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR_CONST","Constant Euro","2014","2014","EUR","Euro","0","Units",,,376034606.23981,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR_CONST","Constant Euro","2015","2015","EUR","Euro","0","Units",,,374906502.4211,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR_CONST","Constant Euro","2016","2016","EUR","Euro","0","Units",,,374906502.4211,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR_CONST","Constant Euro","2017","2017","EUR","Euro","0","Units",,,587706936.92178,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR_CONST","Constant Euro","2018","2018","EUR","Euro","0","Units",,,583830260.36959,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR_CONST","Constant Euro","2019","2019","EUR","Euro","0","Units",,,577644777.58626,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR_CONST","Constant Euro","2020","2020","EUR","Euro","0","Units",,,563583433.65123,,
"ALB","Albania","I-CPV-RL","Rail infrastructure capital value","EUR_CONST","Constant Euro","2021","2021","EUR","Euro","0","Units",,,553448567.62973,,
"ALB","Albania","I-CPV-SEA","Maritime port infrastructure capital value","EUR_CONST","Constant Euro","2005","2005","EUR","Euro","0","Units",,,78471167.440779,,
