Country,Variable,Measure,Year,Value
Albania,Total inland transport infrastructure investment,National currency,2000,14642000000.0
Albania,Total inland transport infrastructure investment,National currency,2001,14003000000.0
Albania,Total inland transport infrastructure investment,National currency,2002,9275000000.0
Albania,Total inland transport infrastructure investment,National currency,2003,8460000000.0
Albania,Total inland transport infrastructure investment,National currency,2004,11896000000.0
Albania,Total inland transport infrastructure investment,National currency,2005,8770000000.0
Albania,Total inland transport infrastructure investment,National currency,2006,21735000000.0
Albania,Total inland transport infrastructure investment,National currency,2007,31421000000.0
Albania,Total inland transport infrastructure investment,National currency,2008,61575000000.0
Albania,Total inland transport infrastructure investment,National currency,2009,64364000000.0
Albania,Total inland transport infrastructure investment,National currency,2010,33381000000.0
Albania,Total inland transport infrastructure investment,National currency,2011,29616000000.0
Albania,Total inland transport infrastructure investment,National currency,2012,25219000000.0
Albania,Total inland transport infrastructure investment,National currency,2013,32950000000.0
Albania,Total inland transport infrastructure investment,National currency,2014,27071000000.0
Albania,Total inland transport infrastructure investment,National currency,2015,25120550000.0
Albania,Total inland transport infrastructure investment,National currency,2016,12242000000.0
Albania,Total inland transport infrastructure investment,National currency,2017,21339900000.0
Albania,Total inland transport infrastructure investment,National currency,2018,21632300000.0
Albania,Total inland transport infrastructure investment,National currency,2019,21762790000.0
Albania,Total inland transport infrastructure investment,National currency,2020,27835000000.0
Albania,Total inland transport infrastructure investment,National currency,2021,33213000000.0
Albania,Rail infrastructure investment,National currency,2000,272000000.0
Albania,Rail infrastructure investment,National currency,2001,180000000.0
Albania,Rail infrastructure investment,National currency,2002,741000000.0
Albania,Rail infrastructure investment,National currency,2003,97000000.0
Albania,Rail infrastructure investment,National currency,2004,263000000.0
Albania,Rail infrastructure investment,National currency,2005,291000000.0
Albania,Rail infrastructure investment,National currency,2006,153000000.0
Albania,Rail infrastructure investment,National currency,2007,72000000.0
Albania,Rail infrastructure investment,National currency,2008,169000000.0
Albania,Rail infrastructure investment,National currency,2009,12000000.0
Albania,Rail infrastructure investment,National currency,2010,41000000.0
Albania,Rail infrastructure investment,National currency,2011,122000000.0
Albania,Rail infrastructure investment,National currency,2012,64000000.0
Albania,Rail infrastructure investment,National currency,2013,93000000.0
Albania,Rail infrastructure investment,National currency,2014,97000000.0
Albania,Rail infrastructure investment,National currency,2015,76750000.0
Albania,Rail infrastructure investment,National currency,2016,0.0
Albania,Rail infrastructure investment,National currency,2017,0.0
Albania,Rail infrastructure investment,National currency,2018,38900000.0
Albania,Rail infrastructure investment,National currency,2019,132790000.0
Albania,Rail infrastructure investment,National currency,2020,186000000.0
Albania,Rail infrastructure investment,National currency,2021,669000000.0
Albania,Road infrastructure investment,National currency,2000,14367000000.0
Albania,Road infrastructure investment,National currency,2001,13819000000.0
Albania,Road infrastructure investment,National currency,2002,8529000000.0
Albania,Road infrastructure investment,National currency,2003,8358000000.0
Albania,Road infrastructure investment,National currency,2004,11629000000.0
Albania,Road infrastructure investment,National currency,2005,8469000000.0
Albania,Road infrastructure investment,National currency,2006,21567000000.0
Albania,Road infrastructure investment,National currency,2007,31333000000.0
Albania,Road infrastructure investment,National currency,2008,61380000000.0
Albania,Road infrastructure investment,National currency,2009,64319000000.0
Albania,Road infrastructure investment,National currency,2010,33308000000.0
Albania,Road infrastructure investment,National currency,2011,29486000000.0
Albania,Road infrastructure investment,National currency,2012,25141000000.0
Albania,Road infrastructure investment,National currency,2013,32853000000.0
Albania,Road infrastructure investment,National currency,2014,26971000000.0
Albania,Road infrastructure investment,National currency,2015,25041000000.0
Albania,Road infrastructure investment,National currency,2016,12242000000.0
Albania,Road infrastructure investment,National currency,2017,21339000000.0
Albania,Road infrastructure investment,National currency,2018,21590000000.0
Albania,Road infrastructure investment,National currency,2019,21630000000.0
Albania,Road infrastructure investment,National currency,2020,27649000000.0
Albania,Road infrastructure investment,National currency,2021,32544000000.0
Albania,Inland waterway infrastucture investment,National currency,2000,3000000.0
Albania,Inland waterway infrastucture investment,National currency,2001,4000000.0
Albania,Inland waterway infrastucture investment,National currency,2002,5000000.0
Albania,Inland waterway infrastucture investment,National currency,2003,5000000.0
Albania,Inland waterway infrastucture investment,National currency,2004,4000000.0
Albania,Inland waterway infrastucture investment,National currency,2005,10000000.0
Albania,Inland waterway infrastucture investment,National currency,2006,15000000.0
Albania,Inland waterway infrastucture investment,National currency,2007,16000000.0
Albania,Inland waterway infrastucture investment,National currency,2008,26000000.0
Albania,Inland waterway infrastucture investment,National currency,2009,33000000.0
Albania,Inland waterway infrastucture investment,National currency,2010,32000000.0
