Country,Variable,Measure,Year,Value
Austria,Total inland transport infrastructure investment,Constant Euro,2000,2198050334.9898
Austria,Road infrastructure maintenance,Constant Euro,2011,535526826.4
Austria,Road infrastructure maintenance,Constant Euro,2012,549178834.1
Austria,Road infrastructure maintenance,Constant Euro,2013,584304523.9
Austria,Road infrastructure maintenance,Constant Euro,2014,682347527.7
Austria,Road infrastructure maintenance,Constant Euro,2015,692000000.0
Austria,Road infrastructure maintenance,Constant Euro,2016,684351173.5
Austria,Road infrastructure maintenance,Constant Euro,2017,667817515.6
Austria,Road infrastructure maintenance,Constant Euro,2018,692990933.6
Austria,Road infrastructure maintenance,Constant Euro,2019,706875744.4
Austria,Road infrastructure maintenance,Constant Euro,2020,724986015.9
Austria,Road infrastructure maintenance,Constant Euro,2021,808264849.2
Austria,Road infrastructure maintenance: Of which motorway,Constant Euro,2000,320384875.6
Austria,Road infrastructure maintenance: Of which motorway,Constant Euro,2001,327145534.9
Austria,Road infrastructure maintenance: Of which motorway,Constant Euro,2002,374375685.2
Austria,Road infrastructure maintenance: Of which motorway,Constant Euro,2004,565839713.7
Austria,Road infrastructure maintenance: Of which motorway,Constant Euro,2005,533762062.9
Austria,Road infrastructure maintenance: Of which motorway,Constant Euro,2006,585340268.4
Austria,Road infrastructure maintenance: Of which motorway,Constant Euro,2007,562210044.3
Austria,Road infrastructure maintenance: Of which motorway,Constant Euro,2008,529864776.5
Austria,Road infrastructure maintenance: Of which motorway,Constant Euro,2009,574605059.0
Austria,Road infrastructure maintenance: Of which motorway,Constant Euro,2010,617101181.5
Austria,Road infrastructure maintenance: Of which motorway,Constant Euro,2011,535526826.4
Austria,Road infrastructure maintenance: Of which motorway,Constant Euro,2012,549178834.1
Austria,Road infrastructure maintenance: Of which motorway,Constant Euro,2013,584304523.9
Austria,Road infrastructure maintenance: Of which motorway,Constant Euro,2014,682347527.7
Austria,Road infrastructure maintenance: Of which motorway,Constant Euro,2015,692000000.0
Austria,Road infrastructure maintenance: Of which motorway,Constant Euro,2016,684351173.5
Austria,Road infrastructure maintenance,Constant Euro,2010,617101181.5
Austria,Road infrastructure maintenance: Of which motorway,Constant Euro,2017,667817515.6
Austria,Road infrastructure maintenance,Constant Euro,2009,574605059.0
Austria,Road infrastructure maintenance,Constant Euro,2007,562210044.3
Austria,Rail infrastructure maintenance,Constant Euro,2002,431678086.0
Austria,Rail infrastructure maintenance,Constant Euro,2003,421078713.6
Austria,Rail infrastructure maintenance,Constant Euro,2004,421291140.6
Austria,Rail infrastructure maintenance,Constant Euro,2005,363873912.0
Austria,Rail infrastructure maintenance,Constant Euro,2006,428067024.6
Austria,Rail infrastructure maintenance,Constant Euro,2007,375963507.0
Austria,Rail infrastructure maintenance,Constant Euro,2008,403922613.4
Austria,Rail infrastructure maintenance,Constant Euro,2009,387524342.1
Austria,Rail infrastructure maintenance,Constant Euro,2010,379754573.2
Austria,Rail infrastructure maintenance,Constant Euro,2011,488912143.2
Austria,Rail infrastructure maintenance,Constant Euro,2012,509875900.1
Austria,Rail infrastructure maintenance,Constant Euro,2013,519497939.9
Austria,Rail infrastructure maintenance,Constant Euro,2014,515596932.5
Austria,Rail infrastructure maintenance,Constant Euro,2015,503000000.0
Austria,Rail infrastructure maintenance,Constant Euro,2016,525291072.9
Austria,Rail infrastructure maintenance,Constant Euro,2017,536586999.4
Austria,Rail infrastructure maintenance,Constant Euro,2018,534538461.2
Austria,Rail infrastructure maintenance,Constant Euro,2019,534856780.0
Austria,Rail infrastructure maintenance,Constant Euro,2020,529762221.5
Austria,Rail infrastructure maintenance,Constant Euro,2021,536655493.3
Austria,Road infrastructure maintenance,Constant Euro,2000,667030806.6
Austria,Road infrastructure maintenance,Constant Euro,2001,669746764.4
Austria,Road infrastructure maintenance,Constant Euro,2002,374375685.2
Austria,Road infrastructure maintenance,Constant Euro,2003,487697137.0
Austria,Road infrastructure maintenance,Constant Euro,2004,565839713.7
Austria,Road infrastructure maintenance,Constant Euro,2005,533762062.9
Austria,Road infrastructure maintenance,Constant Euro,2006,585340268.4
Austria,Road infrastructure maintenance,Constant Euro,2008,529864776.5
Austria,Rail infrastructure maintenance,Constant Euro,2001,435335396.9
Austria,Road infrastructure maintenance: Of which motorway,Constant Euro,2018,692990933.6
Austria,Road infrastructure maintenance: Of which motorway,Constant Euro,2020,724986015.9
Austria,Road infrastructure maintenance,Constant Euro,2017,667817515.57083
Austria,Road infrastructure maintenance,Constant Euro,2018,692990933.5974
Austria,Road infrastructure maintenance,Constant Euro,2019,706875744.39875
Austria,Road infrastructure maintenance,Constant Euro,2020,724986015.8899
Austria,Road infrastructure maintenance,Constant Euro,2021,808264849.17453
Austria,Total road spending,Constant Euro,2000,1290730871.7413
Austria,Total road spending,Constant Euro,2001,1494050474.4404
Austria,Total road spending,Constant Euro,2002,1051817401.196
Austria,Total road spending,Constant Euro,2003,1304715536.616
