Country,Variable,Measure,Year,Value
Ireland,Road infrastructure maintenance,Constant Euro,2005,176782320.0
Ireland,Road infrastructure maintenance,Constant Euro,2004,173529808.6
Ireland,Road infrastructure maintenance,Constant Euro,2003,176844952.6
Ireland,Road infrastructure maintenance,Constant Euro,2002,176345832.8
Ireland,Road infrastructure maintenance,Constant Euro,2001,173247802.3
Ireland,Road infrastructure maintenance,Constant Euro,2000,150079588.0
Ireland,Road infrastructure maintenance,Constant Euro,2019,69573283.86
Ireland,Road infrastructure maintenance,Constant Euro,2006,189873910.4
Ireland,Rail infrastructure maintenance,Constant Euro,2019,221783141.1
Ireland,Rail infrastructure maintenance,Constant Euro,2018,203321740.9
Ireland,Rail infrastructure maintenance,Constant Euro,2017,191689029.8
Ireland,Rail infrastructure maintenance,Constant Euro,2016,183110853.3
Ireland,Rail infrastructure maintenance,Constant Euro,2020,212202504.8
Ireland,Road infrastructure maintenance,Constant Euro,2007,190407865.5
Ireland,Road infrastructure maintenance,Constant Euro,2012,142672764.2
Ireland,Road infrastructure maintenance,Constant Euro,2009,172920098.7
Ireland,Road infrastructure maintenance,Constant Euro,2010,166650000.0
Ireland,Road infrastructure maintenance,Constant Euro,2011,164707692.3
Ireland,Rail infrastructure maintenance,Constant Euro,2015,137061887.9
Ireland,Road infrastructure maintenance,Constant Euro,2013,130454086.8
Ireland,Road infrastructure maintenance,Constant Euro,2014,85764235.76
Ireland,Road infrastructure maintenance,Constant Euro,2015,82000000.0
Ireland,Road infrastructure maintenance,Constant Euro,2016,82587064.68
Ireland,Road infrastructure maintenance,Constant Euro,2018,83412322.27
Ireland,Road infrastructure maintenance: Of which motorway,Constant Euro,2019,8348794.063
Ireland,Road infrastructure maintenance,Constant Euro,2017,79567779.96
Ireland,Road infrastructure maintenance: Of which motorway,Constant Euro,2018,7582938.389
Ireland,Road infrastructure maintenance,Constant Euro,2008,193907463.6
Ireland,Rail infrastructure maintenance,Constant Euro,2014,105983732.5
Ireland,Rail infrastructure investment,Constant Euro,2001,113041484.48649
Ireland,Rail infrastructure maintenance,Constant Euro,2012,90636209.35
Ireland,Rail infrastructure maintenance,Constant Euro,2000,164372882.1
Ireland,Rail infrastructure maintenance,Constant Euro,2001,245434386.6
Ireland,Rail infrastructure maintenance,Constant Euro,2002,160086997.1
Ireland,Airport infrastructure maintenance,Constant Euro,2001,38062017.18
Ireland,Rail infrastructure maintenance,Constant Euro,2003,154739333.5
Ireland,Rail infrastructure investment,Constant Euro,2000,350193384.01994
Ireland,Rail infrastructure investment,Constant Euro,2002,189498523.18895
Ireland,Rail infrastructure investment,Constant Euro,2003,239962398.01598
Ireland,Rail infrastructure investment,Constant Euro,2004,227675284.54531
Ireland,Rail infrastructure investment,Constant Euro,2005,204919724.76279
Ireland,Rail infrastructure investment,Constant Euro,2006,187608054.26206
Ireland,Rail infrastructure investment,Constant Euro,2007,259781098.07091
Ireland,Rail infrastructure investment,Constant Euro,2008,148072108.7135
Ireland,Rail infrastructure maintenance,Constant Euro,2013,80552341.07
Ireland,Rail infrastructure investment,Constant Euro,2009,140912053.68921
Ireland,Rail infrastructure investment,Constant Euro,2011,148223444.58031
Ireland,Rail infrastructure investment,Constant Euro,2012,66314472.081911
Ireland,Rail infrastructure investment,Constant Euro,2013,67001819.976791
Ireland,Rail infrastructure investment,Constant Euro,2014,1574095864.4923
Ireland,Rail infrastructure investment,Constant Euro,2015,63845200.93
Ireland,Rail infrastructure maintenance,Constant Euro,2004,141872343.5
